Sentence,Head,Relation,Tail
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",female dorm,opposite of,male dorm
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",male,opposite of,female
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",female,opposite of,male
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",single-sex,opposite of,female dorms
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",female dorms,opposite of,single-sex
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",halls,have,spaces
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",dormitory,different from,residence hall
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",residence hall,different from,dormitory
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",dormitories,different from,residence hall
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",residence hall,different from,dormitories
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",dormitories,different from,residence halls
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",residence halls,different from,dormitories
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",dormitory,subclass of,residence hall
"The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, specifying times when members of the opposite sex are allowed to visit other students' dorm rooms; however, all residence halls have 24-hour social spaces for students regardless of gender",residence hall,has part,dormitory
Many residence halls have at least one nun and/or priest as a resident,halls,have,nun
Many residence halls have at least one nun and/or priest as a resident,nun,subclass of,priest
Many residence halls have at least one nun and/or priest as a resident,nun,different from,priest
Many residence halls have at least one nun and/or priest as a resident,priest,different from,nun
Many residence halls have at least one nun and/or priest as a resident,priest,has part,nun
"There are no traditional social fraternities or sororities at the university, but a majority of students live in the same residence hall for all four years",sorority,different from,social fraternities
"There are no traditional social fraternities or sororities at the university, but a majority of students live in the same residence hall for all four years",sorority,different from,social fraternity
"There are no traditional social fraternities or sororities at the university, but a majority of students live in the same residence hall for all four years",sorority,different from,fraternities
"There are no traditional social fraternities or sororities at the university, but a majority of students live in the same residence hall for all four years",sororities,different from,social fraternities
"There are no traditional social fraternities or sororities at the university, but a majority of students live in the same residence hall for all four years",sorority,subclass of,social fraternities
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",sports,based,on
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",intramural,subclass of,sports
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",American football,subclass of,sports
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",intramural,sport,American football
"Some intramural sports are based on residence hall teams, where the university offers the only non-military academy program of full-contact intramural American football",full-contact,subclass of,sports
"At the end of the intramural season, the championship game is played on the field in Notre Dame Stadium",game,played,on
"At the end of the intramural season, the championship game is played on the field in Notre Dame Stadium",Notre Dame Stadium,instance of,field
"At the end of the intramural season, the championship game is played on the field in Notre Dame Stadium",championship game,location,Notre Dame Stadium
"At the end of the intramural season, the championship game is played on the field in Notre Dame Stadium",Notre Dame Stadium,occupant,championship game
"At the end of the intramural season, the championship game is played on the field in Notre Dame Stadium",Notre Dame Stadium,instance of,the field
"At the end of the intramural season, the championship game is played on the field in Notre Dame Stadium",Notre Dame Stadium,significant event,championship game
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",university,affiliated,with
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregation of Holy Cross,language used,Latin
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregation of Holy Cross,said to be the same as,Congregatio a Sancta Cruce
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregatio a Sancta Cruce,said to be the same as,Congregation of Holy Cross
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregation of Holy Cross,has part,Congregatio a Sancta Cruce
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregatio a Sancta Cruce,part of,Congregation of Holy Cross
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregatio a Sancta Cruce,named after,Congregation of Holy Cross
"The university is affiliated with the Congregation of Holy Cross (Latin: Congregatio a Sancta Cruce, abbreviated postnominals: ""CSC"")",Congregatio a Sancta Cruce,parent organization,Congregation of Holy Cross
"While religious affiliation is not a criterion for admission, more than 93% of students identify as Christian, with over 80% of the total being Catholic",%,identify,as
"While religious affiliation is not a criterion for admission, more than 93% of students identify as Christian, with over 80% of the total being Catholic",Catholic,subclass of,Christian
"While religious affiliation is not a criterion for admission, more than 93% of students identify as Christian, with over 80% of the total being Catholic",Christian,instance of,religious affiliation
"While religious affiliation is not a criterion for admission, more than 93% of students identify as Christian, with over 80% of the total being Catholic",Catholic,religion,Christian
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",Mass,celebrated,over
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",Mass,part of,Catholic
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",Catholic Mass,part of,faith
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",Mass,religion,Catholic
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",Mass,facet of,Catholic
"Collectively, Catholic Mass is celebrated over 100 times per week on campus, and a large campus ministry program provides for the faith needs of the community",Catholic Mass,facet of,faith
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Word of Life mural,location,Hesburgh Library
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",statue of Mary,part of,Main Building
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Main Building,has part,statue of Mary
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",statue of Mary,location,Main Building
"There are multitudes of religious statues and artwork around campus, most prominent of which are the statue of Mary on the Main Building, the Notre Dame Grotto, and the Word of Life mural on Hesburgh Library depicting Christ as a teacher",Word of Life mural,location depicts,Hesburgh Library Christ as a teacher
"Additionally, every classroom displays a crucifix",classroom,displays,crucifix
"Additionally, every classroom displays a crucifix",crucifix,part of,classroom
"Additionally, every classroom displays a crucifix",crucifix,use,teaching
"Additionally, every classroom displays a crucifix",crucifix,used by,teacher
"Additionally, every classroom displays a crucifix",crucifix,location,classroom
"Additionally, every classroom displays a crucifix",crucifix,use,classroom
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Knights of Columbus,religion,Catholic
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Knights of Columbus,religion religion,Catholic non-Catholic
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Council #1477,part of,Knights of Columbus
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Knights of Columbus,religion,non-Catholic
"There are many religious clubs (catholic and non-Catholic) at the school, including Council #1477 of the Knights of Columbus (KOC), Baptist Collegiate Ministry (BCM), Jewish Club, Muslim Student Association, Orthodox Christian Fellowship, The Mormon Club, and many more",Council #1477,religious order,Knights of Columbus
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",KofC,known,for
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",Notre Dame KofC,member of,KofC
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",Notre Dame KofC,sport,football
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",KofC,subsidiary,Notre Dame KofC
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",KofC,has part,Notre Dame KofC
"The Notre Dame KofC are known for being the first collegiate council of KofC, operating a charitable concession stand during every home football game and owning their own building on campus which can be used as a cigar lounge",Notre Dame KofC,member of,collegiate council of KofC
Fifty-seven chapels are located throughout the campus,chapels,located,throughout
Fifty-seven chapels are located throughout the campus,chapel,subclass of,church
Fifty-seven chapels are located throughout the campus,chapel,part of,church
Fifty-seven chapels are located throughout the campus,Chapel,subclass of,chapel
Fifty-seven chapels are located throughout the campus,chapel,subclass of,churches
Fifty-seven chapels are located throughout the campus,Chapel,part of,chapel
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",Building,destroyed,in
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",Library of Congress,located in the administrative territorial entity,"Washington, D.C."
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home","Washington, D.C.",owner of,Library of Congress
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",library collection,"dissolved, abolished or demolished date",April 1879
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",library,part of,library collection
"This Main Building, and the library collection, was entirely destroyed by a fire in April 1879, and the school closed immediately and students were sent home",library collection,has part,library
"The university founder, Fr",university,named after,Fr.
"The university founder, Fr",university founder,facet of,Fr.
"The university founder, Fr",university,founded by,Fr.
"The university founder, Fr",university founder,field of work,Fr.
"The university founder, Fr",university founder,field of this occupation,Fr.
"Sorin and the president at the time, the Rev",president,officeholder,Rev.Sorin
"Sorin and the president at the time, the Rev",Rev.Sorin,position held,president
"Sorin and the president at the time, the Rev",President,officeholder,Rev.Sorin
"Sorin and the president at the time, the Rev",Rev. Sorin,position held,president
"Sorin and the president at the time, the Rev",Rev. Sorin,position held,president at the time
"William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University",Corby,planned,for
"William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University",William Corby,educated at,University
"William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University",William Corby,employer,University
"William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University",University,chairperson,William Corby
"William Corby, immediately planned for the rebuilding of the structure that had housed virtually the entire University",University,founded by,William Corby
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,Construction,started,on
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,fall semester of 1879,point in time,1879
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,1879,point in time,1879
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,fall semester,point in time,1879
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,Fall semester of 1879,point in time,1879
Construction was started on the 17th of May and by the incredible zeal of administrator and workers the building was completed before the fall semester of 1879,fall semester of 1879,start time,1879
The library collection was also rebuilt and stayed housed in the new Main Building for years afterwards,library collection,location,Main Building
The library collection was also rebuilt and stayed housed in the new Main Building for years afterwards,Main Building,occupant,library collection
The library collection was also rebuilt and stayed housed in the new Main Building for years afterwards,library collection,headquarters location,Main Building
The library collection was also rebuilt and stayed housed in the new Main Building for years afterwards,Main Building,instance of,library
The library collection was also rebuilt and stayed housed in the new Main Building for years afterwards,Main Building,has part,library collection
"Around the time of the fire, a music hall was opened",a music hall,instance of,music hall
"Around the time of the fire, a music hall was opened",music hall,significant event,a fire
"Around the time of the fire, a music hall was opened",a music hall,significant event,a fire
"Around the time of the fire, a music hall was opened",a music hall was opened,instance of,music hall
"Around the time of the fire, a music hall was opened",music hall,named after,a fire
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",it,hosted,plays
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",plays,subclass of,musical acts
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",musical acts,has part,plays
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",Washington Hall,instance of,plays
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",musical acts,subclass of,plays
"Eventually becoming known as Washington Hall, it hosted plays and musical acts put on by the school",plays,part of,musical acts
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",program,established,at
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",LaFortune Student Center,inception,1883
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",Science Hall,part of,LaFortune Student Center
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",LaFortune Student Center,has part,Science Hall
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",1880,point in time,1880
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",1883,point in time,1883
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",Science Hall,inception,1883
"By 1880, a science program was established at the university, and a Science Hall (today LaFortune Student Center) was built in 1883",LaFortune Student Center,date of official opening,1883
The hall housed multiple classrooms and science labs needed for early research at the university,hall,housed,classrooms
The hall housed multiple classrooms and science labs needed for early research at the university,science lab,subclass of,classrooms
The hall housed multiple classrooms and science labs needed for early research at the university,science labs,subclass of,classrooms
The hall housed multiple classrooms and science labs needed for early research at the university,science lab,subclass of,classroom
The hall housed multiple classrooms and science labs needed for early research at the university,science lab,subclass of,laboratory
The hall housed multiple classrooms and science labs needed for early research at the university,science labs,part of,classrooms
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Burns,became,president
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",James Burns,position held,president of Notre Dame
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",James Burns,educated at,Notre Dame
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",James Burns,employer,Notre Dame
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",James Burns,position held,president
"In 1919 Father James Burns became president of Notre Dame, and in three years he produced an academic revolution that brought the school up to national standards by adopting the elective system and moving away from the university's traditional scholastic and classical emphasis",Father James Burns,educated at,Notre Dame
"By contrast, the Jesuit colleges, bastions of academic conservatism, were reluctant to move to a system of electives",Jesuit colleges,instance of,bastions of academic conservatism
"By contrast, the Jesuit colleges, bastions of academic conservatism, were reluctant to move to a system of electives",Jesuit,instance of,bastions of academic conservatism
"By contrast, the Jesuit colleges, bastions of academic conservatism, were reluctant to move to a system of electives",Jesuit college,instance of,bastions of academic conservatism
"By contrast, the Jesuit colleges, bastions of academic conservatism, were reluctant to move to a system of electives",Jesuit colleges,subclass of,bastions of academic conservatism
"By contrast, the Jesuit colleges, bastions of academic conservatism, were reluctant to move to a system of electives",Jesuit,subclass of,bastions of academic conservatism
Their graduates were shut out of Harvard Law School for that reason,graduates,shut,out
Their graduates were shut out of Harvard Law School for that reason,Harvard,has part,Law School
Their graduates were shut out of Harvard Law School for that reason,Law School,part of,Harvard
Their graduates were shut out of Harvard Law School for that reason,Harvard Law School,has part,graduates
Their graduates were shut out of Harvard Law School for that reason,graduates,part of,Harvard Law School
Their graduates were shut out of Harvard Law School for that reason,Harvard,subsidiary,Law School
Their graduates were shut out of Harvard Law School for that reason,Law School,parent organization,Harvard
Their graduates were shut out of Harvard Law School for that reason,Harvard Law School,part of,Harvard
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",programs,represents,Notre Dame
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",sports teams,represents,Notre Dame
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",programs,has part,sports teams
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",sports teams,part of,programs
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",Notre Dame,has part,sports teams
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",sports teams,part of,Notre Dame
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",programs,has part,Notre Dame
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",sports teams,has part,Notre Dame
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",addition,grown,from
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",College of Commerce,inception,1921
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",College of Commerce,inception parent organization,1921 Notre Dame
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",Notre Dame,subsidiary,College of Commerce
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",professional law school,inception,1921
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",Notre Dame,has part,College of Commerce
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",law school,inception,1921
The university continued to expand and add new residence halls and buildings with each subsequent president,residence halls,part of,buildings
The university continued to expand and add new residence halls and buildings with each subsequent president,buildings,has part,residence halls
The university continued to expand and add new residence halls and buildings with each subsequent president,residence hall,part of,buildings
The university continued to expand and add new residence halls and buildings with each subsequent president,buildings,has part,residence hall
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",One,was,team
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",Notre Dame Fighting Irish,sport,football
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",football team,part of,Notre Dame Fighting Irish
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",Notre Dame Fighting Irish,has part,football team
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",football,named after,Notre Dame Fighting Irish
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",football team,has part,Notre Dame Fighting Irish
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",Notre Dame Fighting Irish,part of,football team
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",football,subsidiary,Notre Dame Fighting Irish
Knute Rockne became head coach in 1918,Rockne,became,coach
Knute Rockne became head coach in 1918,1918,point in time,1918
Knute Rockne became head coach in 1918,Knute Rockne,work period (start),1918
Knute Rockne became head coach in 1918,Knute Rockne,occupation,head coach
"Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties",Irish,post,record
"Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties",Irish,ranking,105
"Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties",1906 season,point in time,1906
"Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties",12 losses,number of participants,105
"Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties",12 losses,number of participants,12
"Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties",1912,point in time,1912
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,won,championships
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",1925,point in time,1925
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",George Gipp,part of,"""Four Horsemen"""
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""","""Four Horsemen""",has part,George Gipp
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",George Gipp,work period (start),1925
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Four Horsemen,work period (start),1925
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",George Gipp,member of sports team,"""Four Horsemen"""
Knute Rockne has the highest winning percentage (,Rockne,has,percentage
Knute Rockne has the highest winning percentage (,Knute Rockne,award received,highest winning percentage
Knute Rockne has the highest winning percentage (,highest winning percentage,winner,Knute Rockne
Knute Rockne has the highest winning percentage (,Knute Rockne,ranking,highest winning percentage
Knute Rockne has the highest winning percentage (,Knute Rockne,award received,winning percentage
Knute Rockne has the highest winning percentage (,the highest winning percentage,winner,Knute Rockne
881) in NCAA Division I/FBS football history,NCAA,has part,Division I/FBS
881) in NCAA Division I/FBS football history,Division I/FBS,part of,NCAA
881) in NCAA Division I/FBS football history,NCAA Division I/FBS,sport,football
881) in NCAA Division I/FBS football history,NCAA,has part,Division I
881) in NCAA Division I/FBS football history,Division I,part of,NCAA
881) in NCAA Division I/FBS football history,FBS,organizer,NCAA
881) in NCAA Division I/FBS football history,FBS,owned by,NCAA
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,offenses,employed,Box
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,Notre Dame Box,instance of,7–2–2 scheme
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,Notre Dame Box,instance of,7–2–2
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,Notre Dame Box,part of,7–2–2 scheme
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,7–2–2 scheme,has part,Notre Dame Box
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,Notre Dame Box,subclass of,7–2–2 scheme
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City",game,was,on
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City",New York Giants,located in the administrative territorial entity,New York City
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City",New York City,located in the administrative territorial entity,New York
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City",New York City,owner of,New York Giants
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City",New York Giants,location,New York City
